Name,Tm,R,HR,RBI,SB,OBP
Shea Langeliers,Athletics,73,31,72,7,0.325
Wyatt Langford,Texas,73,22,62,22,0.344
Trevor Larnach,Minnesota,62,17,60,4,0.323
Ram\xc3\xb3n Laureano,"Baltimore,San Diego",72,24,76,7,0.342
Jordan Lawlar,Arizona,9,0,5,2,0.257
Brooks Lee,Minnesota,50,16,64,3,0.285
Jung Hoo Lee,San Francisco,73,8,55,10,0.327
Korey Lee,Chicago,10,1,3,0,0.333
Jack Leiter,Texas,0,0,0,0,0.0
DJ LeMahieu,New York,13,2,12,0,0.338
Sandy Le\xc3\xb3n,Atlanta,1,1,3,0,0.083
Royce Lewis,Minnesota,36,13,52,12,0.283
Daylen Lile,Washington,51,9,41,8,0.347
Francisco Lindor,New York,117,31,86,31,0.346
Trey Lipscomb,Washington,1,0,0,0,0.5
Tyler Locklear,Arizona,11,3,6,3,0.267
Brandon Lockridge,"Milwaukee,San Diego",17,0,11,10,0.272
Nick Loftin,Kansas City,17,4,20,1,0.278
Joey Loperfido,Toronto,12,4,14,1,0.375
Nicky Lopez,"Chicago,Los Angeles",2,0,1,0,0.179
Otto Lopez,Miami,66,15,77,15,0.305
Brandon Lowe,Tampa Bay,79,31,83,3,0.307
Josh Lowe,Tampa Bay,56,11,40,18,0.283
Nathaniel Lowe,"Boston,Washington",64,18,84,1,0.305
Matthew Lugo,Los Angeles,9,4,9,0,0.243
Nathan Lukes,Toronto,60,12,73,2,0.323
Gavin Lux,Cincinnati,51,5,53,1,0.352
Manny Machado,San Diego,92,28,97,14,0.333
Vimael Mach\xc3\xadn,Baltimore,1,1,1,0,0.167
Willie MacIver,Athletics,7,3,9,3,0.252
Luke Maile,Kansas City,6,1,6,1,0.346
Mart\xc3\xadn Maldonado,San Diego,11,4,12,0,0.245
Justyn-Henry Malloy,Detroit,15,1,17,0,0.344
Jake Mangum,Tampa Bay,37,3,40,27,0.33
Kyle Manzardo,Cleveland,47,27,70,2,0.309
Rafael March\xc3\xa1n,Philadelphia,9,2,13,0,0.282
Manuel Margot,Detroit,1,0,3,0,0.3
Jakob Marsee,Miami,28,5,33,14,0.363
Brandon Marsh,Philadelphia,60,11,44,7,0.335
Ketel Marte,Arizona,87,28,72,4,0.376
Noelvi Marte,Cincinnati,46,14,51,10,0.299
Starling Marte,New York,37,9,34,7,0.335
Austin Martin,Minnesota,22,1,7,11,0.374
Angel Mart\xc3\xadnez,Cleveland,57,11,45,8,0.27
Nick Martini,Colorado,9,1,4,0,0.288
Michael Massey,Kansas City,20,3,20,2,0.268
Miles Mastrobuoni,Seattle,20,1,12,6,0.322
Jorge Mateo,Baltimore,9,1,3,15,0.217
Nick Maton,Chicago,5,2,4,0,0.286
Luis Matos,San Francisco,26,8,22,4,0.266
Brice Matthews,Houston,6,4,9,1,0.222
Ronny Mauricio,New York,19,6,10,4,0.293
Marcelo Mayer,Boston,19,4,10,0,0.272
Coby Mayo,Baltimore,30,11,28,3,0.299
James McCann,Arizona,18,5,17,0,0.324
Jake McCarthy,Arizona,18,4,20,6,0.247
Chas McCormick,Houston,13,1,5,2,0.279
Mason McCoy,San Diego,5,0,1,2,0.269
Grant McCray,San Francisco,3,0,2,0,0.16
Carson McCusker,Minnesota,0,0,1,0,0.2
Andrew McCutchen,Pittsburgh,51,13,57,1,0.333
Reese McGuire,Chicago,17,9,24,0,0.245
Billy McKinney,Texas,4,0,1,0,0.238
Zach McKinstry,Detroit,70,12,52,20,0.33
Matt McLain,Cincinnati,74,15,50,18,0.301
Ryan McMahon,"Colorado,New York",64,21,54,3,0.313
Jeff McNeil,New York,42,12,54,3,0.335
Curtis Mead,"Chicago,Tampa Bay",26,3,19,5,0.299
Parker Meadows,Detroit,25,4,16,4,0.276
Chase Meidroth,Chicago,54,5,23,14,0.329
MJ Melendez,Kansas City,5,1,1,0,0.154
Jacob Melton,Houston,7,0,7,7,0.234
Jackson Merrill,San Diego,61,17,69,1,0.318
Matt Mervis,Miami,15,7,14,0,0.254
V\xc3\xadctor Mesa Jr.,Miami,7,1,6,0,0.297
Jake Meyers,Houston,53,3,24,16,0.354
Drew Millas,Washington,6,0,7,2,0.358
Owen Miller,Colorado,0,0,1,1,0.294
Jos\xc3\xa9 Miranda,Minnesota,2,1,5,0,0.167
Kameron Misner,Tampa Bay,27,5,22,8,0.273
Garrett Mitchell,Milwaukee,9,0,3,3,0.286
Andruw Monasterio,Milwaukee,19,4,16,2,0.324
Yo\xc3\xa1n Moncada,Los Angeles,39,12,35,0,0.336
Mickey Moniak,Colorado,62,24,68,9,0.306
Coco Montes,Tampa Bay,0,0,1,0,0.2
Colson Montgomery,Chicago,43,21,55,0,0.311
Christian Moore,Los Angeles,20,7,16,3,0.284
Dylan Moore,"Seattle,Texas",35,11,25,14,0.267
Christopher Morel,Tampa Bay,37,11,33,7,0.289
Gabriel Moreno,Arizona,44,9,40,2,0.353
Ryan Mountcastle,Baltimore,34,7,35,3,0.286
Cedric Mullins,"Baltimore,New York",58,17,59,22,0.299
Max Muncy,Los Angeles,56,22,70,4,0.373
Max Muncy,Athletics,17,9,23,1,0.259
Sean Murphy,Atlanta,34,16,45,0,0.3
Dane Myers,Miami,29,6,31,18,0.291
Carlos Narv\xc3\xa1ez,Boston,51,15,50,1,0.305
Omar Narv\xc3\xa1ez,Chicago,1,0,3,0,0.4
Brian Navarreto,Miami,3,1,5,0,0.267
Bo Naylor,Cleveland,47,15,50,1,0.279
Josh Naylor,"Arizona,Seattle",88,23,97,32,0.356
Ryne Nelson,Arizona,1,0,1,0,1.0
Zach Neto,Los Angeles,82,26,62,26,0.319
Kevin Newman,Los Angeles,13,2,11,1,0.209
Tom\xc3\xa1s Nido,Detroit,4,0,2,0,0.361
Brandon Nimmo,New York,81,25,92,13,0.324
Ryan Noda,"Baltimore,Chicago",3,1,2,1,0.276
Jhonkensy Noel,Cleveland,19,6,13,0,0.179
Austin Nola,Colorado,2,0,1,0,0.225
Lars Nootbaar,St. Louis,68,13,48,4,0.325
Connor Norby,Miami,42,8,34,8,0.3
Dom Nu\xc3\xb1ez,Cleveland,2,0,0,0,0.286
Nasim Nu\xc3\xb1ez,Washington,13,4,13,9,0.297
Ryan O\'Hearn,"Baltimore,San Diego",67,17,63,3,0.366
Logan O\'Hoppe,Los Angeles,35,19,43,2,0.258
Tyler O\'Neill,Baltimore,22,9,26,4,0.292
Shinnosuke Ogasawara,Washington,0,0,0,0,0.0
Shohei Ohtani,Los Angeles,159,63,116,21,0.393
Matt Olson,Atlanta,98,29,95,1,0.366
Jonathan Ornelas,"Atlanta,Texas",1,0,0,0,0.3
Tirso Ornelas,San Diego,0,0,1,0,0.188
Joey Ortiz,Milwaukee,63,7,45,14,0.274
Alejandro Osuna,Texas,12,2,15,5,0.313
James Outman,"Los Angeles,Minnesota",19,6,11,1,0.216
Marcell Ozuna,Atlanta,61,21,68,0,0.355
Andy Pages,Los Angeles,76,27,87,14,0.297
Pedro Pag\xc3\xa9s,St. Louis,38,11,45,0,0.272
Joshua Palacios,Chicago,11,3,9,0,0.292
Richie Palacios,Tampa Bay,10,1,3,4,0.396
Isaac Paredes,Houston,53,20,53,0,0.352
Kyren Paris,Los Angeles,20,6,11,7,0.266
Vinnie Pasquantino,Kansas City,72,32,113,1,0.323
Graham Pauley,Miami,18,4,11,2,0.311
Joc Pederson,Texas,28,9,26,2,0.285
Liover Peguero,Pittsburgh,9,4,8,4,0.273
Jeremy Pe\xc3\xb1a,Houston,68,17,62,20,0.363
Oswald Peraza,"Los Angeles,New York",24,5,20,9,0.223
Geraldo Perdomo,Arizona,98,20,100,27,0.389
Jhonny Pereda,"Athletics,Minnesota",4,0,4,0,0.325
Everson Pereira,Tampa Bay,7,2,8,2,0.219
Salvador Perez,Kansas City,54,30,100,0,0.284
Wenceel P\xc3\xa9rez,Detroit,49,13,45,8,0.299
Blake Perkins,Milwaukee,26,3,20,7,0.302
